Premium Outlets	Jersey Shore Premium Outlets	Cloth	http://www.premiumoutlets.com/outlets/sales.asp?id=78	07753
Premium Outlets	Liberty Village Premium Outlets	Cloth	http://www.premiumoutlets.com/outlets/sales.asp?id=13	08822
Premium Outlets	Waterloo Premium Outlets	Cloth	http://www.premiumoutlets.com/outlets/sales.asp?id=9	13165
Premium Outlets	Woodbury Common Premium Outlets	Cloth	http://www.premiumoutlets.com/outlets/sales.asp?id=7	10917
Premium Outlets	Carolina Premium Outlets	Cloth	http://www.premiumoutlets.com/outlets/sales.asp?id=48	27577
Premium Outlets	Charlotte Premium Outlets	Cloth	http://www.premiumoutlets.com/outlets/sales.asp?id=111	28278
Premium Outlets	Aurora Farms Premium Outlets	Cloth	http://www.premiumoutlets.com/outlets/sales.asp?id=8	44202
Premium Outlets	Cincinnati  Premium Outlets	Cloth	http://www.premiumoutlets.com/outlets/sales.asp?id=79	45050
Premium Outlets	Columbia Gorge Premium Outlets	Cloth	http://www.premiumoutlets.com/outlets/sales.asp?id=28	97060
Premium Outlets	Woodburn Premium Outlets	Cloth	http://www.premiumoutlets.com/outlets/sales.asp?id=110	97071
Premium Outlets	Grove City Premium Outlets	Cloth	http://www.premiumoutlets.com/outlets/sales.asp?id=85	16127
Premium Outlets	Philadelphia Premium Outlets	Cloth	http://www.premiumoutlets.com/outlets/sales.asp?id=75	19464
Premium Outlets	The Crossings Premium Outlets	Cloth	http://www.premiumoutlets.com/outlets/sales.asp?id=59	18372
Premium Outlets	Puerto Rico Premium Outlets	Cloth	http://www.premiumoutlets.com/outlets/sales.asp?id=80	00617
Premium Outlets	Gaffney Premium Outlets	Cloth	http://www.premiumoutlets.com/outlets/sales.asp?id=86	29341
Premium Outlets	Lebanon Premium Outlets	Cloth	http://www.premiumoutlets.com/outlets/sales.asp?id=87	37090
Premium Outlets	Allen Premium Outlets	Cloth	http://www.premiumoutlets.com/outlets/sales.asp?id=5	75013
Premium Outlets	Grand Prairie Premium Outlets	Cloth	http://www.premiumoutlets.com/outlets/sales.asp?id=106	75052
Premium Outlets	Houston Premium Outlets	Cloth	http://www.premiumoutlets.com/outlets/sales.asp?id=77	77433
Premium Outlets	Rio Grande Valley Premium Outlets	Cloth	http://www.premiumoutlets.com/outlets/sales.asp?id=74	78570
Premium Outlets	Round Rock Premium Outlets	Cloth	http://www.premiumoutlets.com/outlets/sales.asp?id=73	78664
Premium Outlets	San Marcos Premium Outlets	Cloth	http://www.premiumoutlets.com/outlets/sales.asp?id=88	78666
Premium Outlets	Leesburg Corner Premium Outlets	Cloth	http://www.premiumoutlets.com/outlets/sales.asp?id=14	20176
Premium Outlets	Williamsburg Premium Outlets	Cloth	http://www.premiumoutlets.com/outlets/sales.asp?id=89	23188
Premium Outlets	North Bend Premium Outlets	Cloth	http://www.premiumoutlets.com/outlets/sales.asp?id=49	98045
Premium Outlets	Seattle Premium Outlets	Cloth	http://www.premiumoutlets.com/outlets/sales.asp?id=71	98271
Premium Outlets	Johnson Creek Premium Outlets	Cloth	http://www.premiumoutlets.com/outlets/sales.asp?id=53	53038
Premium Outlets	Pleasant Prairie Premium Outlets	Cloth	http://www.premiumoutlets.com/outlets/sales.asp?id=90	53158

